epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,7548.31,0.97143,0.64013,0.99864,0.71385,0.73041,0.76315,0.49338,1.06419,0.65636,1.00133,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7707.28,0.95926,0.62864,0.99463,0.70994,0.7379,0.76297,0.49376,1.06363,0.65536,1.00089,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7866.91,0.97301,0.63636,0.99791,0.71583,0.73647,0.7634,0.49408,1.06329,0.6542,1.00061,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8026.03,0.96246,0.63163,0.99546,0.73034,0.72406,0.76451,0.495,1.06291,0.65279,1.00039,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8185.01,0.95821,0.62452,0.99432,0.74613,0.7256,0.76531,0.49535,1.06287,0.6519,1.00039,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8344.12,0.95604,0.62058,0.99243,0.75316,0.72341,0.76542,0.4963,1.06264,0.65077,1.0002,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8503.11,0.95463,0.62316,0.99552,0.75612,0.7193,0.76575,0.49708,1.06218,0.64961,0.99986,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8662.44,0.95215,0.61879,0.99059,0.76986,0.71595,0.76623,0.49668,1.06187,0.64895,0.99966,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8821.31,0.95491,0.61882,0.9911,0.78355,0.71054,0.76717,0.49758,1.06156,0.64754,0.99972,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8980.99,0.95388,0.6183,0.99057,0.78919,0.70769,0.76776,0.49794,1.06123,0.64636,0.99965,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9140.09,0.94591,0.60902,0.98911,0.79627,0.7056,0.76882,0.49747,1.06118,0.64568,0.99942,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9300.97,0.94815,0.60766,0.98889,0.78369,0.71364,0.77038,0.49967,1.06098,0.64443,0.9994,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9460.48,0.93272,0.5977,0.9859,0.8042,0.70228,0.7707,0.50043,1.06053,0.64351,0.99933,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9619.59,0.94033,0.60187,0.98682,0.83713,0.69134,0.77179,0.50202,1.0604,0.6421,0.99924,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9778.6,0.93224,0.5968,0.98367,0.83174,0.69835,0.77266,0.50203,1.06019,0.64142,0.99886,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9937.78,0.93176,0.59634,0.98477,0.86906,0.69183,0.77364,0.50385,1.05965,0.64005,0.99873,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,10097.2,0.92681,0.58873,0.97981,0.87328,0.693,0.77531,0.5045,1.05919,0.63867,0.99846,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,10256.6,0.92863,0.59464,0.98266,0.86659,0.69301,0.7756,0.50487,1.05886,0.63768,0.99816,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,10418,0.92505,0.5903,0.98052,0.86198,0.69402,0.77646,0.50595,1.05817,0.6367,0.99769,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10577.4,0.92224,0.5826,0.98257,0.75636,0.75603,0.77944,0.50813,1.05765,0.63565,0.99751,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10736.6,0.92279,0.58573,0.98047,0.75509,0.75717,0.77989,0.50845,1.05731,0.63466,0.99731,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10895.9,0.92033,0.57767,0.97739,0.75541,0.75615,0.78012,0.50859,1.05682,0.6333,0.99701,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,11054.9,0.9172,0.57673,0.97893,0.75755,0.75533,0.78024,0.50891,1.05626,0.63264,0.99682,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
