epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,6366.64,0.98136,0.64431,1.00545,0.80552,0.69832,0.74393,0.4676,1.09773,0.65567,1.0124,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6506.56,0.97475,0.63299,1.00298,0.81244,0.69719,0.7462,0.46952,1.09607,0.65363,1.01139,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6646.71,0.97537,0.63706,1.00421,0.81056,0.69951,0.74734,0.47008,1.09431,0.65228,1.01038,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6786.71,0.97361,0.63099,1.00131,0.8095,0.69494,0.74766,0.47012,1.09338,0.64997,1.00976,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6932.67,0.96617,0.62257,0.99791,0.8094,0.69472,0.75203,0.47338,1.09239,0.6492,1.00913,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7086.6,0.94975,0.61185,0.99377,0.82133,0.69179,0.75229,0.47351,1.09122,0.64768,1.00842,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7241.08,0.96973,0.62586,0.99996,0.8414,0.68897,0.75217,0.47389,1.09056,0.64625,1.00823,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7404.9,0.96348,0.6183,0.99635,0.82831,0.69223,0.75279,0.47441,1.08982,0.64532,1.00782,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7559.32,0.95348,0.60991,0.99354,0.83599,0.69164,0.75285,0.47443,1.08916,0.64447,1.00756,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7713.71,0.94862,0.60822,0.99353,0.87048,0.68826,0.75367,0.47476,1.08872,0.64286,1.00726,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7868.51,0.95163,0.60465,0.99304,0.88125,0.68537,0.75412,0.4756,1.08851,0.64145,1.00711,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8022.96,0.95461,0.60931,0.99385,0.88809,0.68679,0.75447,0.4756,1.08825,0.64041,1.00703,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8177.73,0.94853,0.60426,0.99067,0.88956,0.686,0.75493,0.47555,1.08772,0.63966,1.00694,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8332.08,0.94287,0.60131,0.99099,0.88621,0.68586,0.75441,0.47476,1.08726,0.63912,1.00667,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8486.5,0.9477,0.59893,0.99046,0.88146,0.68763,0.75485,0.47605,1.08656,0.63832,1.00649,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8640.27,0.94273,0.59648,0.99036,0.89039,0.68445,0.75651,0.47657,1.08622,0.63733,1.00625,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8793.87,0.9443,0.59662,0.9869,0.89586,0.68316,0.75771,0.47712,1.08569,0.63647,1.00621,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8948,0.93195,0.58274,0.9843,0.8974,0.68464,0.75624,0.47549,1.08568,0.63537,1.00626,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9102.18,0.93892,0.58506,0.98541,0.893,0.68452,0.75405,0.47464,1.0855,0.63473,1.0062,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9259.44,0.94038,0.59111,0.98612,0.89167,0.68599,0.75521,0.47558,1.08508,0.63404,1.00593,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9413.82,0.9349,0.58176,0.98333,0.88339,0.68695,0.75605,0.47616,1.08458,0.63291,1.0057,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9567.65,0.92463,0.5769,0.98149,0.87708,0.68774,0.75538,0.47626,1.08439,0.63205,1.0056,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9721.41,0.93288,0.57877,0.98343,0.87876,0.68817,0.75543,0.47634,1.08392,0.63137,1.00558,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,9875.21,0.9186,0.57284,0.97917,0.87643,0.68869,0.75609,0.47622,1.08379,0.63027,1.00546,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,10029.2,0.92339,0.57278,0.98021,0.87477,0.68941,0.75613,0.47609,1.08363,0.62929,1.00554,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10183.4,0.91645,0.56598,0.97854,0.8772,0.68769,0.75463,0.4762,1.08324,0.62844,1.00538,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10337.4,0.92114,0.56812,0.9792,0.87433,0.6883,0.75497,0.47599,1.08295,0.6278,1.00522,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10490.9,0.91387,0.56113,0.97512,0.87869,0.6868,0.75486,0.4762,1.08231,0.62674,1.00492,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10644.8,0.92271,0.5671,0.9791,0.87816,0.68629,0.7543,0.47627,1.08183,0.62541,1.00457,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10798.6,0.91408,0.55579,0.97394,0.87483,0.68533,0.75433,0.47585,1.08126,0.62448,1.00418,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10953.2,0.90951,0.55766,0.97572,0.87027,0.68624,0.75514,0.4764,1.08069,0.62391,1.00401,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,11107.4,0.90214,0.54817,0.97154,0.86785,0.68693,0.75539,0.47575,1.08036,0.62314,1.00382,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11262.8,0.90629,0.54951,0.97371,0.86907,0.68241,0.75432,0.47608,1.07991,0.62225,1.00361,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11417.3,0.90765,0.55018,0.97345,0.75654,0.69236,0.75519,0.47551,1.07943,0.62085,1.00327,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11571.1,0.90233,0.54465,0.96978,0.75548,0.69221,0.75515,0.47591,1.07942,0.61965,1.00327,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11724.5,0.90069,0.53932,0.96985,0.76069,0.69133,0.75545,0.47625,1.07915,0.6188,1.00303,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,11879.7,0.89613,0.53721,0.96772,0.76056,0.69133,0.75621,0.47658,1.07935,0.61779,1.00311,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
