epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2589.33,0.95632,0.58779,0.97894,0.88272,0.80298,0.89661,0.64818,0.91419,0.54605,0.94039,0.000229178,0.000229178,0.000229178
59,2633.84,0.95526,0.59138,0.97768,0.89597,0.79744,0.89614,0.64758,0.92318,0.54371,0.94487,0.000223971,0.000223971,0.000223971
60,2678.19,0.94963,0.58436,0.97343,0.88984,0.81268,0.8989,0.64882,0.92385,0.5357,0.9417,0.000218763,0.000218763,0.000218763
61,2723.11,0.95657,0.58493,0.97877,0.87862,0.81371,0.89838,0.65123,0.9246,0.54934,0.94308,0.000213556,0.000213556,0.000213556
62,2768.21,0.94848,0.58398,0.97606,0.88413,0.81426,0.89973,0.6524,0.9069,0.52454,0.94006,0.000208349,0.000208349,0.000208349
63,2813.7,0.95617,0.57748,0.97121,0.887,0.81371,0.90101,0.64861,0.91894,0.53272,0.94554,0.000203141,0.000203141,0.000203141
64,2858.34,0.9572,0.58656,0.96973,0.89385,0.79833,0.89679,0.65034,0.91279,0.53326,0.94265,0.000197934,0.000197934,0.000197934
65,2902.78,0.94557,0.57022,0.96648,0.88405,0.8079,0.89759,0.6512,0.90737,0.53199,0.93821,0.000192726,0.000192726,0.000192726
66,2947.32,0.94643,0.58102,0.97248,0.87199,0.82653,0.89883,0.64986,0.92372,0.52501,0.94516,0.000187519,0.000187519,0.000187519
67,2991.76,0.94272,0.5732,0.96922,0.88124,0.80901,0.89571,0.64923,0.91556,0.53551,0.93821,0.000182312,0.000182312,0.000182312
68,3036.31,0.94497,0.56778,0.96888,0.89554,0.8033,0.89835,0.6518,0.91179,0.52764,0.93957,0.000177104,0.000177104,0.000177104
69,3081.11,0.92965,0.55725,0.96436,0.89492,0.80742,0.90128,0.65425,0.91166,0.52869,0.94236,0.000171897,0.000171897,0.000171897
70,3141.99,0.93841,0.56552,0.96882,0.88921,0.81675,0.90135,0.6529,0.92104,0.52186,0.94154,0.000166689,0.000166689,0.000166689
71,3220.7,0.92339,0.55696,0.96454,0.88686,0.80814,0.90096,0.6524,0.919,0.53227,0.94108,0.000161482,0.000161482,0.000161482
72,3265.24,0.92634,0.56173,0.96269,0.89389,0.81258,0.90181,0.65236,0.90779,0.53237,0.94105,0.000156275,0.000156275,0.000156275
73,3351.39,0.93045,0.56134,0.96422,0.89132,0.81012,0.9005,0.65391,0.9123,0.51915,0.94201,0.000151067,0.000151067,0.000151067
74,3466.47,0.92373,0.56144,0.96712,0.89717,0.80044,0.89973,0.65196,0.90547,0.51929,0.94051,0.00014586,0.00014586,0.00014586
75,3578.41,0.92741,0.56025,0.9618,0.88271,0.81959,0.90005,0.65382,0.89939,0.54103,0.9401,0.000140652,0.000140652,0.000140652
76,3689.73,0.92548,0.56009,0.96447,0.88521,0.82274,0.90327,0.65523,0.91118,0.514,0.94143,0.000135445,0.000135445,0.000135445
77,3751,0.93171,0.55898,0.96244,0.89617,0.80514,0.90096,0.65318,0.91178,0.52031,0.94131,0.000130238,0.000130238,0.000130238
78,3795.39,0.92543,0.5624,0.96068,0.88757,0.82034,0.9022,0.65545,0.90937,0.517,0.94263,0.00012503,0.00012503,0.00012503
79,3840.62,0.92219,0.55573,0.96251,0.89246,0.8143,0.90313,0.65685,0.91339,0.54623,0.93991,0.000119823,0.000119823,0.000119823
80,3885.57,0.92582,0.55949,0.9614,0.88332,0.82653,0.90326,0.65615,0.92781,0.52543,0.94384,0.000114615,0.000114615,0.000114615
81,3951.34,0.89657,0.53896,0.95371,0.88809,0.81481,0.90175,0.6555,0.90503,0.51388,0.93931,0.000109408,0.000109408,0.000109408
82,4063.12,0.90665,0.5446,0.95523,0.89488,0.8126,0.9036,0.65542,0.91359,0.52165,0.94273,0.000104201,0.000104201,0.000104201
83,4179.33,0.91371,0.54519,0.95822,0.89357,0.81684,0.90373,0.65678,0.90924,0.512,0.94216,9.89932e-05,9.89932e-05,9.89932e-05
84,4287.98,0.90507,0.53917,0.95569,0.89339,0.81896,0.9037,0.65736,0.90279,0.51718,0.94196,9.37858e-05,9.37858e-05,9.37858e-05
85,4404.59,0.91662,0.5406,0.95671,0.89445,0.81537,0.90159,0.65539,0.90385,0.52669,0.9422,8.85784e-05,8.85784e-05,8.85784e-05
86,4513.83,0.91206,0.53956,0.95642,0.89382,0.81316,0.90081,0.65589,0.91485,0.52336,0.94353,8.3371e-05,8.3371e-05,8.3371e-05
87,4631.43,0.91094,0.54168,0.9556,0.89805,0.80735,0.90167,0.65592,0.89897,0.54425,0.94144,7.81636e-05,7.81636e-05,7.81636e-05
88,4738.89,0.90247,0.53274,0.95444,0.89863,0.811,0.90115,0.65708,0.89278,0.51352,0.93903,7.29562e-05,7.29562e-05,7.29562e-05
89,4849.36,0.89954,0.53729,0.9531,0.89609,0.81509,0.90344,0.65764,0.8998,0.51877,0.94119,6.77488e-05,6.77488e-05,6.77488e-05
90,4958.25,0.8975,0.52796,0.953,0.88479,0.82574,0.90345,0.65771,0.89499,0.52326,0.9412,6.25414e-05,6.25414e-05,6.25414e-05
91,5051.09,0.88623,0.52153,0.94844,0.89336,0.8079,0.89754,0.64952,0.94117,0.61055,0.95052,5.7334e-05,5.7334e-05,5.7334e-05
92,5144.89,0.88305,0.51575,0.94043,0.90166,0.80586,0.90056,0.65371,0.92225,0.57222,0.94781,5.21266e-05,5.21266e-05,5.21266e-05
93,5235.72,0.87505,0.51,0.93834,0.8948,0.81095,0.90039,0.65402,0.91418,0.53641,0.94704,4.69192e-05,4.69192e-05,4.69192e-05
94,5329.4,0.87269,0.50645,0.93908,0.8926,0.81703,0.8997,0.65597,0.91423,0.5417,0.94464,4.17118e-05,4.17118e-05,4.17118e-05
95,5435.17,0.8706,0.50351,0.93854,0.89445,0.81564,0.90214,0.65572,0.91767,0.54356,0.94589,3.65044e-05,3.65044e-05,3.65044e-05
96,5533.26,0.86647,0.50103,0.93798,0.88972,0.81839,0.90194,0.65659,0.90795,0.56836,0.94511,3.1297e-05,3.1297e-05,3.1297e-05
97,5627.4,0.86528,0.49829,0.93737,0.89734,0.81454,0.90074,0.65603,0.91655,0.59168,0.94362,2.60896e-05,2.60896e-05,2.60896e-05
98,5724.8,0.85899,0.49492,0.9354,0.90526,0.80846,0.90293,0.65599,0.91199,0.58117,0.94289,2.08822e-05,2.08822e-05,2.08822e-05
99,5821.36,0.86229,0.49866,0.93388,0.89804,0.81067,0.90196,0.6575,0.91614,0.5906,0.94332,1.56748e-05,1.56748e-05,1.56748e-05
100,5918.4,0.85535,0.48772,0.93355,0.89652,0.81657,0.9035,0.65835,0.9066,0.56164,0.94184,1.04674e-05,1.04674e-05,1.04674e-05
